162062,	0.75,	1.00,	161121,	162062,	0.79,	0.65,	0,	0,	41.10,	
163055,	-0.49,	0.00,	162114,	163055,	0.77,	0.79,	0,	0,	41.10,	
164048,	0.32,	0.00,	163107,	164048,	0.28,	0.48,	0,	0,	41.10,	
165042,	0.02,	0.00,	164100,	165042,	0.29,	0.29,	0,	0,	41.10,	
166034,	-0.17,	0.00,	165093,	166034,	0.19,	0.18,	0,	0,	41.10,	
167027,	-0.12,	0.00,	166086,	167027,	0.05,	0.11,	0,	0,	41.10,	
168020,	-0.29,	0.00,	167078,	168020,	-0.02,	0.07,	0,	0,	41.10,	
169013,	0.66,	0.50,	168073,	169013,	-0.13,	0.04,	0,	0,	41.10,	
170006,	0.27,	0.00,	169065,	170006,	0.18,	0.22,	0,	0,	41.10,	
170999,	-0.19,	0.00,	170057,	170999,	0.21,	0.13,	0,	0,	41.10,	
171993,	0.07,	0.00,	171051,	171992,	0.05,	0.08,	0,	0,	41.10,	
172985,	-0.68,	0.00,	172043,	172985,	0.06,	0.05,	0,	0,	41.10,	
173978,	0.12,	0.00,	173036,	173978,	-0.23,	0.03,	0,	0,	41.10,	
174971,	0.12,	0.00,	174030,	174970,	-0.09,	0.02,	0,	0,	41.10,	
175964,	1.09,	1.00,	175023,	175964,	-0.01,	0.01,	0,	0,	41.10,	
176957,	0.36,	0.00,	176016,	176957,	0.42,	0.40,	0,	0,	41.10,	
177950,	-0.61,	0.00,	177008,	177950,	0.40,	0.24,	0,	0,	41.10,	
178942,	0.29,	0.00,	178001,	178942,	0.01,	0.15,	0,	0,	41.10,	
179936,	0.29,	0.00,	178995,	179936,	0.12,	0.09,	0,	0,	41.10,	
180929,	-0.32,	0.00,	179987,	180929,	0.19,	0.05,	0,	0,	41.10,	
181921,	0.80,	1.00,	180980,	181921,	-0.01,	0.03,	0,	0,	41.10,	
182915,	0.71,	1.00,	181974,	182915,	0.31,	0.41,	0,	0,	41.10,	
183908,	1.97,	2.00,	182967,	183908,	0.46,	0.64,	0,	0,	41.10,	
184901,	0.27,	0.00,	183959,	184901,	1.05,	1.17,	0,	0,	41.10,	
185893,	-0.12,	0.00,	184950,	185893,	0.75,	0.71,	0,	0,	41.10,	
186887,	0.15,	0.00,	185946,	186887,	0.41,	0.43,	0,	0,	41.10,	
187880,	-0.15,	0.00,	186938,	187880,	0.30,	0.26,	0,	0,	41.10,	
188873,	0.34,	0.00,	187931,	188872,	0.13,	0.16,	0,	0,	41.10,	
189865,	-0.19,	0.00,	188923,	189865,	0.21,	0.10,	0,	0,	41.10,	
190859,	0.02,	0.00,	189918,	190859,	0.05,	0.06,	0,	0,	41.10,	
191852,	-0.34,	0.00,	190910,	191852,	0.04,	0.04,	0,	0,	41.10,	
192845,	0.90,	1.00,	191903,	192845,	-0.11,	0.02,	0,	0,	41.10,	
193838,	0.15,	0.00,	192897,	193838,	0.29,	0.40,	0,	0,	41.10,	
194831,	0.29,	0.00,	193890,	194831,	0.23,	0.25,	0,	0,	41.10,	
195824,	0.63,	0.50,	194883,	195824,	0.26,	0.15,	0,	0,	41.10,	
196817,	0.19,	0.00,	195876,	196817,	0.40,	0.29,	0,	0,	41.10,	
197811,	-0.78,	0.00,	196869,	197811,	0.32,	0.17,	0,	0,	41.10,	
198804,	0.02,	0.00,	197862,	198804,	-0.11,	0.11,	0,	0,	41.10,	
199797,	-0.22,	0.00,	198855,	199797,	-0.06,	0.06,	0,	0,	41.10,	
200790,	0.54,	0.50,	199848,	200790,	-0.12,	0.04,	0,	0,	41.10,	
201783,	0.58,	0.50,	200842,	201783,	0.14,	0.22,	0,	0,	41.10,	
202776,	-0.05,	0.00,	201834,	202776,	0.31,	0.33,	0,	0,	41.10,	
203769,	0.41,	0.50,	202828,	203769,	0.17,	0.20,	0,	0,	41.10,	
204763,	0.32,	0.00,	203821,	204763,	0.27,	0.32,	0,	0,	41.10,	
205756,	1.02,	1.00,	204814,	205756,	0.29,	0.19,	0,	0,	41.10,	
206749,	0.58,	0.50,	205807,	206748,	0.57,	0.51,	0,	0,	41.10,	
