tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,realValue,realValueFiltered,correctedValueFiltered,thetadeg,phideg,myTmp,OFFSET,tareButtonFlank,realWeight
1717910.0,1718426.0,1718426.0,60273.0,2962.70288,2962.70288,2963.0,-8.76,-4.19,23.26,-66371.0,0.0,3000
1718703.0,1719219.0,1719219.0,60637.0,2971.21826,2971.21826,2971.0,-8.03,-3.49,23.31,-66371.0,0.0,3000
1719495.0,1720012.0,1720012.0,60801.0,2975.05493,2971.21826,2971.0,-8.05,-4.28,23.26,-66371.0,0.0,3000
1720288.0,1720804.0,1720804.0,61017.0,2980.10791,2980.10791,2980.0,-6.44,-3.99,23.31,-66371.0,0.0,3000
1721081.0,1721597.0,1721597.0,61177.0,2983.85107,2980.10791,2980.0,-6.55,-3.42,23.35,-66371.0,0.0,3000
1721874.0,1722390.0,1722390.0,61294.0,2986.58813,2981.57324,2981.5,-6.07,-3.59,23.21,-66371.0,0.0,3000
1722667.0,1723183.0,1723183.0,61411.0,2989.3252,2983.53662,2983.5,-4.47,-3.98,23.26,-66371.0,0.0,3000
1723460.0,1723976.0,1723976.0,61578.0,2993.23193,2985.80298,2986.0,-5.78,-3.28,23.31,-66371.0,0.0,3000
1724253.0,1724769.0,1724769.0,61642.0,2994.72925,2988.71143,2989.0,-4.4,-3.93,23.35,-66371.0,0.0,3000
1725046.0,1725562.0,1725562.0,61615.0,2994.09766,2991.06738,2991.0,-7.49,-1.85,23.21,-66371.0,0.0,3000
1725839.0,1726355.0,1726355.0,61695.0,2995.96924,2992.25366,2992.0,-4.26,-3.5,23.21,-66371.0,0.0,3000
1726631.0,1727147.0,1727147.0,61732.0,2996.83472,2993.70825,2994.0,-2.49,-3.82,23.26,-66371.0,0.0,3000
1727424.0,1727940.0,1727940.0,61740.0,2997.02197,2994.93237,2995.0,-1.78,-3.9,23.35,-66371.0,0.0,3000
1728217.0,1728733.0,1728733.0,61728.0,2996.74121,2995.75049,2996.0,-1.31,-3.49,23.21,-66371.0,0.0,3000
1729010.0,1729526.0,1729526.0,61759.0,2997.46631,2996.13843,2996.0,-1.86,-3.45,23.26,-66371.0,0.0,3000
1729803.0,1730319.0,1730319.0,61735.0,2996.90479,2996.6582,2996.5,-1.33,-4.14,23.21,-66371.0,0.0,3000
1730596.0,1731112.0,1731112.0,61757.0,2997.41943,2996.75488,2997.0,-1.37,-3.16,23.31,-66371.0,0.0,3000
1731389.0,1731905.0,1731905.0,61725.0,2996.6709,2997.01514,2997.0,-0.81,-3.72,23.31,-66371.0,0.0,3000
1732182.0,1732698.0,1732698.0,61723.0,2996.62427,2996.88037,2997.0,-1.41,-3.97,23.17,-66371.0,0.0,3000
1732974.0,1733491.0,1733491.0,61731.0,2996.81128,2996.78003,2997.0,-1.12,-2.89,23.21,-66371.0,0.0,3000
1733767.0,1734283.0,1734283.0,61720.0,2996.55396,2996.79224,2997.0,-0.66,-3.37,23.31,-66371.0,0.0,3000
1734560.0,1735076.0,1735076.0,61708.0,2996.27319,2996.69897,2996.5,-0.32,-3.71,23.21,-66371.0,0.0,3000
