tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,realValue,realValueFiltered,correctedValueFiltered,thetadeg,phideg,myTmp,OFFSET,tareButtonFlank,realWeight
10066399.0,10066912.0,10066912.0,147453.0,4997.99951,4998.02002,4998.0,-0.4,-0.29,26.13,-66192.0,0.0,5000
10067193.0,10067706.0,10067706.0,147464.0,4998.25684,4998.01172,4998.0,-0.14,-0.43,26.08,-66192.0,0.0,5000
10067987.0,10068499.0,10068499.0,147488.0,4998.81836,4998.10742,4998.0,-0.83,-0.13,26.27,-66192.0,0.0,5000
10068781.0,10069293.0,10069293.0,147479.0,4998.60791,4998.38574,4998.0,-0.46,-0.01,26.13,-66192.0,0.0,5000
10069574.0,10070087.0,10070087.0,147464.0,4998.25684,4998.47266,4998.5,-0.43,-0.27,26.13,-66192.0,0.0,5000
10070368.0,10070881.0,10070881.0,147466.0,4998.30371,4998.38818,4998.0,-0.17,-0.24,26.18,-66192.0,0.0,5000
10071162.0,10071674.0,10071674.0,147445.0,4997.8125,4998.35498,4998.0,-0.88,-0.48,26.22,-66192.0,0.0,5000
10071955.0,10072468.0,10072468.0,147462.0,4998.20996,4998.14258,4998.0,-0.04,-0.86,26.18,-66192.0,0.0,5000
10072749.0,10073262.0,10073262.0,147471.0,4998.4209,4998.16895,4998.0,-0.5,-0.34,26.18,-66192.0,0.0,5000
10073543.0,10074055.0,10074055.0,147470.0,4998.39746,4998.26758,4998.0,-0.28,-0.53,26.22,-66192.0,0.0,5000
10074336.0,10074849.0,10074849.0,147468.0,4998.35059,4998.31836,4998.0,-0.53,0.14,26.18,-66192.0,0.0,5000
10075129.0,10075643.0,10075643.0,147481.0,4998.65479,4998.33105,4998.0,-0.14,-0.39,26.13,-66192.0,0.0,5000
10075924.0,10076437.0,10076437.0,147467.0,4998.32715,4998.45752,4998.5,-0.22,-0.4,26.27,-66192.0,0.0,5000
10076718.0,10077230.0,10077230.0,147476.0,4998.5376,4998.40674,4998.5,-0.08,-0.41,26.13,-66192.0,0.0,5000
10077511.0,10078024.0,10078024.0,147434.0,4997.55518,4998.45801,4998.5,-0.64,-0.57,26.22,-66192.0,0.0,5000
10078305.0,10078818.0,10078818.0,147480.0,4998.63135,4998.10449,4998.0,-0.22,-0.63,26.18,-66192.0,0.0,5000
10079099.0,10079611.0,10079611.0,147477.0,4998.56104,4998.31104,4998.0,-0.38,-0.04,26.18,-66192.0,0.0,5000
10079892.0,10080405.0,10080405.0,147504.0,4999.19287,4998.40869,4998.5,-0.34,-0.35,26.18,-66192.0,0.0,5000
