tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,realValue,realValueFiltered,correctedValueFiltered,thetadeg,phideg,myTmp,OFFSET,tareButtonFlank,realWeight
10326736.0,10327249.0,10327249.0,125303.0,4479.82373,4482.20996,4482.0,25.89,0.03,26.37,-66192.0,0.0,5000
10327529.0,10328043.0,10328043.0,125457.0,4483.42627,4481.27588,4481.0,26.01,0.47,26.32,-66192.0,0.0,5000
10328323.0,10328836.0,10328836.0,124811.0,4468.31396,4468.31396,4468.0,27.19,-1.18,26.22,-66192.0,0.0,5000
10329117.0,10329630.0,10329630.0,124293.0,4456.1958,4456.1958,4456.0,27.24,-0.49,26.22,-66192.0,0.0,5000
10329911.0,10330424.0,10330424.0,124045.0,4450.39404,4450.39404,4450.0,26.68,-0.16,26.32,-66192.0,0.0,5000
10330705.0,10331218.0,10331218.0,123766.0,4443.86719,4443.86719,4444.0,28.1,0.22,26.37,-66192.0,0.0,5000
10331498.0,10332011.0,10332011.0,124104.0,4451.77441,4451.77441,4452.0,27.27,-0.81,26.27,-66192.0,0.0,5000
10332292.0,10332805.0,10332805.0,124385.0,4458.34814,4458.34814,4458.0,27.05,-0.43,26.32,-66192.0,0.0,5000
10333086.0,10333599.0,10333599.0,124757.0,4467.05078,4467.05078,4467.0,26.7,0.17,26.22,-66192.0,0.0,5000
10333879.0,10334392.0,10334392.0,124517.0,4461.43604,4461.43604,4461.5,28.46,-0.62,26.22,-66192.0,0.0,5000
10334674.0,10335186.0,10335186.0,123352.0,4434.18213,4434.18213,4434.0,27.4,0.51,26.37,-66192.0,0.0,5000
10335466.0,10335980.0,10335980.0,123219.0,4431.0708,4434.18213,4434.0,28.2,0.56,26.32,-66192.0,0.0,5000
10336260.0,10336773.0,10336773.0,123487.0,4437.34033,4437.34033,4437.0,27.61,0.52,26.22,-66192.0,0.0,5000
10337054.0,10337567.0,10337567.0,124177.0,4453.48193,4453.48193,4453.5,26.72,-0.36,26.32,-66192.0,0.0,5000
10337848.0,10338361.0,10338361.0,124927.0,4471.02783,4471.02783,4471.0,27.81,-0.03,26.22,-66192.0,0.0,5000
