3339114,	1014.0184,	1014.0000,	3338212,	3339114,	1013.8660,	1013.8943,	0,	0,	-42.5012,	46064.0000,	2967.0000,	
3340075,	1013.7596,	1014.0000,	3339172,	3340075,	1013.9257,	1013.9357,	0,	0,	-42.5012,	46064.0000,	2978.0000,	
3341035,	1013.9243,	1014.0000,	3340134,	3341035,	1013.8606,	1013.9608,	0,	0,	-42.5012,	46064.0000,	2971.0000,	
3341996,	1013.6419,	1013.5000,	3341094,	3341996,	1013.8856,	1013.9762,	0,	0,	-42.5012,	46064.0000,	2983.0000,	
3342956,	1013.3361,	1013.0000,	3342055,	3342956,	1013.7902,	1013.7898,	0,	0,	-42.5012,	46064.0000,	2996.0000,	
3343917,	1013.1008,	1013.0000,	3343015,	3343917,	1013.6124,	1013.4806,	0,	0,	-42.5012,	46064.0000,	3006.0000,	
3344877,	1013.3125,	1013.0000,	3343976,	3344877,	1013.4121,	1013.2925,	0,	0,	-42.5012,	46064.0000,	2997.0000,	
3345838,	1013.1949,	1013.0000,	3344936,	3345838,	1013.3731,	1013.1780,	0,	0,	-42.5012,	46064.0000,	3002.0000,	
3346798,	1013.1008,	1013.0000,	3345897,	3346798,	1013.3034,	1013.1083,	0,	0,	-42.5012,	46064.0000,	3006.0000,	
3347759,	1012.9125,	1013.0000,	3346857,	3347759,	1013.2240,	1013.0659,	0,	0,	-42.5012,	46064.0000,	3014.0000,	
3348719,	1012.7008,	1013.0000,	3347818,	3348719,	1013.1021,	1013.0402,	0,	0,	-42.5012,	46064.0000,	3023.0000,	
3349680,	1012.6773,	1012.5000,	3348779,	3349680,	1012.9450,	1013.0244,	0,	0,	-42.5012,	46064.0000,	3024.0000,	
3350640,	1012.8420,	1013.0000,	3349739,	3350640,	1012.8402,	1012.8191,	0,	0,	-42.5012,	46064.0000,	3017.0000,	
3351601,	1012.0420,	1012.0000,	3350700,	3351601,	1012.8408,	1012.8899,	0,	0,	-42.5012,	46064.0000,	3051.0000,	
3352562,	1011.8302,	1012.0000,	3351660,	3352561,	1012.5281,	1012.5415,	0,	0,	-42.5012,	46064.0000,	3060.0000,	
3353523,	1011.6420,	1011.5000,	3352621,	3353522,	1012.2549,	1012.3295,	0,	0,	-42.5012,	46064.0000,	3068.0000,	
3354483,	1011.3126,	1011.0000,	3353581,	3354482,	1012.0149,	1012.0048,	0,	0,	-42.5012,	46064.0000,	3082.0000,	
3355444,	1010.7949,	1011.0000,	3354542,	3355444,	1011.7400,	1011.6113,	0,	0,	-42.5012,	46064.0000,	3104.0000,	
3356404,	1010.0185,	1010.0000,	3355502,	3356404,	1011.3700,	1011.3720,	0,	0,	-42.5012,	46064.0000,	3137.0000,	
3357365,	1001.4776,	1001.5000,	3356463,	3357365,	1001.4776,	1001.5000,	1,	1,	-42.5012,	46064.0000,	3500.0000,	
3358325,	994.9366,	995.0000,	3357423,	3358325,	994.9366,	995.0000,	1,	1,	-42.5012,	46064.0000,	3778.0000,	
3359286,	994.2072,	994.0000,	3358380,	3359286,	994.9367,	995.0000,	0,	0,	-42.5012,	46064.0000,	3809.0000,	
3360246,	999.7129,	1000.0000,	3359340,	3360246,	999.7129,	1000.0000,	1,	1,	-42.5012,	46064.0000,	3575.0000,	
3361207,	992.2308,	992.0000,	3360303,	3361207,	992.2308,	992.0000,	1,	1,	-42.5012,	46064.0000,	3893.0000,	
3362167,	993.9954,	994.0000,	3361261,	3362167,	992.2307,	992.0000,	0,	0,	-42.5012,	46064.0000,	3818.0000,	
3363128,	995.6189,	995.5000,	3362223,	3363128,	992.9216,	992.7830,	0,	0,	-42.5012,	46064.0000,	3749.0000,	
3364088,	997.5718,	997.5000,	3363183,	3364088,	993.9776,	993.8467,	0,	0,	-42.5012,	46064.0000,	3666.0000,	
3365049,	995.3366,	995.0000,	3364144,	3365049,	995.3848,	995.2770,	0,	0,	-42.5012,	46064.0000,	3761.0000,	
3366009,	993.8072,	994.0000,	3365104,	3366009,	995.3659,	995.1686,	0,	0,	-42.5012,	46064.0000,	3826.0000,	
3366970,	993.6896,	993.5000,	3366065,	3366970,	994.7557,	994.7111,	0,	0,	-42.5012,	46064.0000,	3831.0000,	
3367930,	992.3955,	992.0000,	3367025,	3367930,	994.3383,	994.2369,	0,	0,	-42.5012,	46064.0000,	3886.0000,	
3368891,	991.7131,	992.0000,	3367986,	3368891,	993.5777,	993.3612,	0,	0,	-42.5012,	46064.0000,	3915.0000,	
3369851,	993.2896,	993.0000,	3368946,	3369851,	992.8477,	992.8283,	0,	0,	-42.5012,	46064.0000,	3848.0000,	
3370812,	994.3248,	994.0000,	3369907,	3370812,	993.0207,	992.8955,	0,	0,	-42.5012,	46064.0000,	3804.0000,	
3371772,	996.3954,	996.0000,	3370867,	3371772,	993.5313,	993.3280,	0,	0,	-42.5012,	46064.0000,	3716.0000,	
3372733,	995.7366,	996.0000,	3371828,	3372733,	994.6526,	994.3740,	0,	0,	-42.5012,	46064.0000,	3744.0000,	
3373693,	994.7719,	995.0000,	3372788,	3373693,	995.0770,	995.0106,	0,	0,	-42.5012,	46064.0000,	3785.0000,	
3374654,	994.3248,	994.0000,	3373749,	3374654,	994.9575,	995.0065,	0,	0,	-42.5012,	46064.0000,	3804.0000,	
3375614,	994.3954,	994.0000,	3374709,	3375614,	994.7098,	994.6124,	0,	0,	-42.5012,	46064.0000,	3801.0000,	
3376575,	993.1954,	993.0000,	3375670,	3376575,	994.5867,	994.3727,	0,	0,	-42.5012,	46064.0000,	3852.0000,	
3377536,	990.8190,	991.0000,	3376630,	3377536,	994.0421,	993.8353,	0,	0,	-42.5012,	46064.0000,	3953.0000,	
3378496,	989.2426,	989.0000,	3377591,	3378496,	992.7802,	992.7253,	0,	0,	-42.5012,	46064.0000,	4020.0000,	
3379457,	990.9602,	991.0000,	3378551,	3379457,	991.3953,	991.2669,	0,	0,	-42.5012,	46064.0000,	3947.0000,	
3380417,	990.1367,	990.0000,	3379512,	3380417,	991.2250,	991.1624,	0,	0,	-42.5012,	46064.0000,	3982.0000,	
3381378,	990.2073,	990.0000,	3380472,	3381378,	990.7990,	990.7073,	0,	0,	-42.5012,	46064.0000,	3979.0000,	
3382338,	989.9249,	990.0000,	3381433,	3382338,	990.5673,	990.4304,	0,	0,	-42.5012,	46064.0000,	3991.0000,	
3383299,	989.4309,	989.5000,	3382393,	3383299,	990.3158,	990.2620,	0,	0,	-42.5012,	46064.0000,	4012.0000,	
3384259,	988.6309,	988.5000,	3383354,	3384259,	989.9694,	989.9636,	0,	0,	-42.5012,	46064.0000,	4046.0000,	
3385220,	985.9251,	986.0000,	3384314,	3385220,	989.4453,	989.3906,	0,	0,	-42.5012,	46064.0000,	4161.0000,	
3386180,	984.8192,	985.0000,	3385275,	3386180,	988.0671,	988.0632,	0,	0,	-42.5012,	46064.0000,	4208.0000,	
3387141,	983.6193,	983.5000,	3386235,	3387141,	986.7955,	986.8640,	0,	0,	-42.5012,	46064.0000,	4259.0000,	
3388101,	985.0545,	985.0000,	3387196,	3388101,	985.5520,	985.5470,	0,	0,	-42.5012,	46064.0000,	4198.0000,	
3389062,	986.8427,	987.0000,	3388156,	3389062,	985.3572,	985.3328,	0,	0,	-42.5012,	46064.0000,	4122.0000,	
3390022,	989.8073,	990.0000,	3389116,	3390022,	985.9387,	985.9855,	0,	0,	-42.5012,	46064.0000,	3996.0000,	
3390983,	986.3486,	986.0000,	3390076,	3390983,	987.4533,	987.5571,	0,	0,	-42.5012,	46064.0000,	4143.0000,	
3391943,	986.5604,	986.5000,	3391037,	3391942,	987.0208,	986.9475,	0,	0,	-42.5012,	46064.0000,	4134.0000,	
3392903,	984.8898,	985.0000,	3391997,	3392903,	986.8405,	986.7723,	0,	0,	-42.5012,	46064.0000,	4205.0000,	
3393863,	982.6311,	982.5000,	3392958,	3393863,	986.0768,	986.0785,	0,	0,	-42.5012,	46064.0000,	4301.0000,	
3394824,	981.7840,	982.0000,	3393918,	3394824,	984.7278,	984.6775,	0,	0,	-42.5012,	46064.0000,	4337.0000,	
3395784,	982.7252,	983.0000,	3394879,	3395784,	983.5753,	983.6293,	0,	0,	-42.5012,	46064.0000,	4297.0000,	
3396745,	984.7487,	985.0000,	3395840,	3396745,	983.2424,	983.3829,	0,	0,	-42.5012,	46064.0000,	4211.0000,	
3397705,	985.2192,	985.0000,	3396800,	3397705,	983.8322,	984.0160,	0,	0,	-42.5012,	46064.0000,	4191.0000,	
3398666,	986.1369,	986.0000,	3397761,	3398666,	984.3752,	984.4013,	0,	0,	-42.5012,	46064.0000,	4152.0000,	
3399626,	988.5838,	988.5000,	3398720,	3399626,	985.0649,	985.0272,	0,	0,	-42.5012,	46064.0000,	4048.0000,	
3400587,	986.8427,	987.0000,	3399681,	3400586,	986.4425,	986.3868,	0,	0,	-42.5012,	46064.0000,	4122.0000,	
3401546,	989.0544,	989.0000,	3400641,	3401546,	986.5991,	986.6268,	0,	0,	-42.5012,	46064.0000,	4028.0000,	
