tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
1477708.0,1478241.0,1478242.0,872.0,754.0,42.746101,118.0,118.0,2.76049,-2.26796,0.0,-0.0,-0.07,1.0,45.39,-0.24,-1.4,0.14,-3.81,24.81,104,165218.0
1478402.0,1478935.0,1478936.0,999.0,754.0,42.746101,245.0,245.0,5.73155,-0.29932,0.0,-0.0,-0.07,1.0,45.31,-0.27,-1.62,0.2,-3.83,24.95,104,165912.0
1479096.0,1479629.0,1479630.0,641.0,754.0,42.746101,-113.0,-113.0,-2.64352,-2.64352,0.0,-0.0,-0.06,1.0,45.31,-0.1,-1.4,0.08,-3.69,24.77,104,166606.0
1479791.0,1480323.0,1480324.0,631.0,754.0,42.746101,-123.0,-123.0,-2.87746,-2.64352,0.0,-0.0,-0.07,1.0,45.47,-0.52,-1.6,0.01,-3.73,24.86,104,167301.0
1480485.0,1481018.0,1481018.0,648.0,754.0,42.746101,-106.0,-106.0,-2.47976,-2.73511,0.0,-0.0,-0.07,1.0,45.54,-0.24,-1.55,0.06,-3.91,24.86,104,167995.0
1481179.0,1481712.0,1481713.0,1714.0,754.0,42.746101,960.0,960.0,22.45824,22.45824,22.5,0.0,-0.07,1.0,45.47,-0.34,-1.52,-0.13,-3.83,24.86,104,168689.0
1481873.0,1482406.0,1482407.0,665.0,754.0,42.746101,-89.0,-89.0,-2.08206,-2.08206,0.0,0.0,-0.07,1.0,45.31,-0.34,-1.56,-0.08,-3.74,24.86,104,169383.0
1482567.0,1483100.0,1483101.0,612.0,754.0,42.746101,-142.0,-142.0,-3.32196,-2.08206,0.0,-0.0,-0.07,1.0,45.53,-0.55,-1.53,0.18,-3.85,24.86,104,170077.0
1483261.0,1483794.0,1483795.0,646.0,754.0,42.746101,-108.0,-108.0,-2.52655,-2.56748,0.0,-0.0,-0.06,1.0,45.34,-0.44,-1.49,0.03,-3.28,24.91,104,170771.0
1483956.0,1484489.0,1484489.0,660.0,754.0,42.746101,-94.0,-94.0,-2.19903,-2.55146,0.0,-0.0,-0.06,0.99,45.39,-0.35,-1.44,0.06,-3.56,24.86,104,171466.0
1484650.0,1485183.0,1485183.0,666.0,754.0,42.746101,-88.0,-88.0,-2.05867,-2.41348,0.0,0.0,-0.06,1.0,45.47,-0.29,-1.53,-0.06,-3.44,24.86,104,172160.0
1485344.0,1485877.0,1485878.0,659.0,754.0,42.746101,-95.0,-95.0,-2.22244,-2.27457,0.0,-0.0,-0.06,1.0,45.43,-0.37,-1.66,0.24,-3.22,24.86,104,172854.0
1486038.0,1486571.0,1486572.0,663.0,754.0,42.746101,-91.0,-91.0,-2.12885,-2.25416,0.0,-0.0,-0.07,1.0,45.53,-0.51,-1.52,0.11,-3.99,24.86,104,173548.0
1486732.0,1487265.0,1487266.0,629.0,754.0,42.746101,-125.0,-125.0,-2.92425,-2.2051,0.0,0.0,-0.06,1.0,45.47,-0.63,-1.47,-0.08,-3.64,24.86,104,174242.0
1487427.0,1487959.0,1487960.0,672.0,754.0,42.746101,-82.0,-82.0,-1.91831,-2.48665,0.0,0.0,-0.06,1.0,45.53,-0.36,-1.59,-0.08,-3.47,24.86,104,174937.0
1488121.0,1488654.0,1488654.0,662.0,754.0,42.746101,-92.0,-92.0,-2.15227,-2.26414,0.0,-0.01,-0.06,1.0,45.5,-0.27,-1.49,0.32,-3.32,24.91,104,175631.0
1488815.0,1489348.0,1489348.0,640.0,754.0,42.746101,-114.0,-114.0,-2.66694,-2.22035,0.0,-0.0,-0.06,0.99,45.49,-0.33,-1.52,0.27,-3.71,24.86,104,176325.0
1489509.0,1490042.0,1490043.0,510.0,754.0,42.746101,-244.0,-244.0,-5.70813,-2.39519,0.0,0.0,-0.06,1.0,45.54,-0.33,-1.54,-0.06,-3.7,24.81,104,177019.0
1490203.0,1490736.0,1490737.0,617.0,754.0,42.746101,-137.0,-137.0,-3.20498,-3.6922,0.0,0.0,-0.06,0.99,45.45,-0.51,-1.66,-0.11,-3.48,24.91,104,177713.0
1490897.0,1491430.0,1491431.0,640.0,754.0,42.746101,-114.0,-114.0,-2.66692,-3.50145,0.0,0.0,-0.06,1.0,45.31,-0.66,-1.44,-0.18,-3.58,24.86,104,178407.0
1491592.0,1492125.0,1492125.0,662.0,754.0,42.746101,-92.0,-92.0,-2.15225,-3.17473,0.0,-0.0,-0.08,1.0,45.44,-0.4,-1.4,0.1,-4.36,24.77,104,179102.0
1492286.0,1492819.0,1492819.0,632.0,754.0,42.746101,-122.0,-122.0,-2.85406,-2.77443,0.0,-0.0,-0.07,1.0,45.44,-0.42,-1.47,0.06,-4.09,24.77,104,179796.0
