tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue_WU_Filt,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,bSync,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
360719,361274,361275,-39244,-39315,42.7461,71,71.02995,102.185,100.6478,2.354549,0,0.0,0.032227,-0.000488,1.063721,-11.77099,6.076336,-1.625954,-1.735302,-0.026301,29.33,False,2625.7,2.115949,2.313398,7.141572,0.931118,False,True,True,True,True,False,False,False,False,False,500,27240,555,1,30181.22033898305
362052,362604,362605,-39204,-39315,42.7461,111,111.0529,96.47118,100.6643,2.354936,0,0.0,0.034424,0.008545,1.069092,-11.55725,5.885496,-1.458015,-1.844174,0.457937,29.33,False,2625.0,2.115385,2.312781,7.139668,0.93029,False,True,True,True,True,False,False,False,False,False,500,28573,552,1,31019.58757062147
362711,363268,363269,-39213,-39315,42.7461,102,102.0514,92.61316,99.02272,2.316532,0,0.0,0.034912,0.005615,1.053955,-11.71756,5.977099,-1.625954,-1.897189,0.305255,29.37706,False,2626.4,2.116513,2.314015,7.143476,0.931946,False,True,True,True,True,False,False,False,False,False,500,29232,557,1,31857.954802259886
363381,363933,363934,-39216,-39315,42.7461,99,99.03152,91.89823,96.51338,2.257829,0,0.0,0.027832,0.003174,1.057373,-11.42748,6.122138,-1.419847,-1.507773,0.171979,29.33,False,2625.0,2.115385,2.312781,7.139668,0.93029,False,True,True,True,True,False,False,False,False,False,500,29902,552,1,32696.322033898305
364045,364598,364598,-39241,-39315,42.7461,74,74.03265,90.61286,94.70655,2.21556,0,0.0,0.032715,0.008301,1.055664,-11.48092,6.030534,-1.679389,-1.774959,0.450512,29.23588,False,2625.0,2.115385,2.312781,7.139668,0.93029,False,True,True,True,True,False,False,False,False,False,500,30566,553,0,33534.68926553672
364712,365262,365263,-39199,-39315,42.7461,116,116.0539,92.47013,93.10387,2.178067,0,0.0,0.033691,0.006348,1.05957,-11.58779,5.877862,-1.343511,-1.821197,0.343242,29.33,False,2625.9,2.11611,2.313574,7.142116,0.931355,False,True,True,True,True,False,False,False,False,False,500,31233,550,1,34373.05649717514
365375,365927,365928,-39205,-39315,42.7461,110,110.0278,98.04125,92.85576,2.172263,0,0.0,0.024902,0.005371,1.061035,-11.64122,6.015267,-1.603053,-1.344457,0.290035,29.33,False,2625.3,2.115626,2.313046,7.140484,0.930645,False,True,True,True,True,False,False,False,False,False,500,31896,552,1,35211.423728813555
366039,366591,366592,-39221,-39315,42.7461,94,94.05328,100.9005,94.88588,2.219755,0,0.0,0.036865,0.006348,1.049561,-11.59542,6.007634,-1.656489,-2.011614,0.346515,29.37706,False,2625.7,2.115949,2.313398,7.141572,0.931118,False,True,True,True,True,False,False,False,False,False,500,32560,552,1,36049.790960451974
366701,367256,367257,-39238,-39315,42.7461,77,77.03381,96.04066,97.24061,2.274842,0,0.0,0.032959,0.011719,1.066162,-11.74046,6.061069,-1.572519,-1.770548,0.629741,29.23588,False,2626.6,2.116674,2.314191,7.14402,0.932182,False,True,True,True,True,False,False,False,False,False,500,33222,555,1,36888.15819209039
367366,367920,367921,-39244,-39315,42.7461,71,71.02835,91.60878,96.77083,2.263852,0,0.0,0.03125,0.000488,1.060059,-11.63359,5.900764,-1.541985,-1.688558,0.026391,29.33,False,2626.0,2.11619,2.313662,7.142388,0.931473,False,True,True,True,True,False,False,False,False,False,500,33887,554,1,37726.52542372881
368031,368585,368586,-39230,-39315,42.7461,85,85.02472,89.60781,94.74989,2.216574,0,0.0,0.026611,0.005127,1.057861,-11.62595,5.938931,-1.587786,-1.440996,0.277683,29.37706,False,2625.7,2.115949,2.313398,7.141572,0.931118,False,True,True,True,True,False,False,False,False,False,500,34552,554,1,38564.89265536723
368697,369249,369250,-39228,-39315,42.7461,87,87.03351,91.46508,92.73676,2.169479,0,0.0,0.030762,0.009521,1.0625,-11.54198,5.992366,-1.778626,-1.658306,0.513435,29.37706,False,2624.8,2.115223,2.312605,7.139124,0.930054,False,True,True,True,True,False,False,False,False,False,500,35218,552,1,39403.259887005646
369359,369914,369915,-39200,-39315,42.7461,115,115.0322,91.31913,92.2389,2.157832,0,0.0,0.026123,0.009766,1.057617,-11.58015,5.763359,-1.770992,-1.414849,0.529031,29.37706,False,2624.5,2.114982,2.312341,7.138308,0.929699,False,True,True,True,True,False,False,False,False,False,500,35880,555,1,40241.627118644064
370026,370578,370579,-39195,-39315,42.7461,120,120.0375,92.74908,91.87881,2.149408,0,0.0,0.027588,0.006104,1.058105,-11.68702,6.221374,-1.618321,-1.493501,0.330497,29.37706,False,2627.0,2.116996,2.314543,7.145108,0.932655,False,True,True,True,True,False,False,False,False,False,500,36547,552,1,41079.99435028248
370689,371243,371244,-39218,-39315,42.7461,97,97.04843,93.17695,92.21952,2.157378,0,0.0,0.034912,0.001709,1.059082,-11.61832,5.877862,-1.610687,-1.888036,0.092455,29.42412,False,2626.9,2.116916,2.314455,7.144836,0.932537,False,True,True,True,True,False,False,False,False,False,500,37210,554,1,41918.3615819209
371357,371907,371908,-39233,-39315,42.7461,82,82.03178,93.89095,92.59435,2.166147,0,0.0,0.030762,0.005859,1.059326,-11.59542,5.977099,-1.679389,-1.663313,0.316912,29.47118,False,2625.9,2.11611,2.313574,7.142116,0.931355,False,True,True,True,True,False,False,False,False,False,500,37878,550,1,42756.72881355932
372017,372572,372573,-39203,-39315,42.7461,112,112.0503,99.75123,93.10197,2.178022,0,0.0,0.032959,0.008545,1.053711,-11.51145,6.129771,-1.824428,-1.791505,0.464621,29.37706,False,2626.2,2.116352,2.313838,7.142932,0.931709,False,True,True,True,True,False,False,False,False,False,500,38538,555,1,43595.09604519774
372683,373237,373237,-39211,-39315,42.7461,104,104.0472,102.4687,95.70515,2.238921,0,0.0,0.033447,0.006592,1.063965,-11.71756,6.061069,-1.603053,-1.800544,0.354971,29.37706,False,2627.0,2.116996,2.314543,7.145108,0.932655,False,True,True,True,True,False,False,False,False,False,500,39204,554,0,44433.463276836155
373347,373901,373902,-39202,-39315,42.7461,113,113.0361,106.1834,98.3531,2.300867,0,0.0,0.028076,0.006348,1.064941,-11.55725,6.167939,-1.519084,-1.510169,0.341511,29.33,False,2626.2,2.116352,2.313838,7.142932,0.931709,False,True,True,True,True,False,False,False,False,False,500,39868,554,1,45271.83050847457
374013,374566,374567,-39195,-39315,42.7461,120,120.0583,106.9014,101.4187,2.372583,0,0.0,0.034424,0.002197,1.058838,-11.61832,5.961832,-1.526718,-1.862076,0.118898,29.33,False,2625.7,2.115949,2.313398,7.141572,0.931118,False,True,True,True,True,False,False,False,False,False,500,40534,553,1,46110.19774011299
374675,375230,375231,-39234,-39315,42.7461,81,81.03408,101.3295,103.5651,2.422797,0,0.0,0.032227,0.004639,1.064941,-11.56489,5.992366,-1.664122,-1.733298,0.249567,29.47118,False,2623.7,2.114337,2.311636,7.136132,0.928753,False,True,True,True,True,False,False,False,False,False,500,41196,555,1,46948.56497175141
375340,375895,375896,-39206,-39315,42.7461,109,109.0311,103.0413,102.6899,2.402322,0,0.0,0.026367,0.003662,1.058105,-11.55725,6.061069,-1.59542,-1.42746,0.1983,29.37706,False,2626.4,2.116513,2.314015,7.143476,0.931946,False,True,True,True,True,False,False,False,False,False,500,41861,555,1,47786.93220338983
376005,376559,376560,-39208,-39315,42.7461,107,107.0295,106.6124,102.8275,2.40554,0,0.0,0.026123,0.00293,1.065674,-11.56489,6.160306,-1.59542,-1.404212,0.157513,29.37706,False,2626.2,2.116352,2.313838,7.142932,0.931709,False,True,True,True,True,False,False,False,False,False,500,42526,554,1,48625.299435028246
376671,377224,377225,-39216,-39315,42.7461,99,99.05143,104.7554,104.3093,2.440205,0,0.0,0.035645,0.004883,1.060059,-11.56489,6.038168,-1.564886,-1.925823,0.263912,29.42412,False,2624.1,2.114659,2.311988,7.13722,0.929226,False,True,True,True,True,False,False,False,False,False,500,43192,553,1,49463.666666666664
377334,377888,377889,-39232,-39315,42.7461,83,83.04771,101.7555,104.4839,2.444292,0,0.0,0.037842,0.005615,1.069824,-11.48855,5.900764,-1.580153,-2.025788,0.300727,29.42412,False,2626.0,2.11619,2.313662,7.142388,0.931473,False,True,True,True,True,False,False,False,False,False,500,43855,554,1,50302.03389830508
