tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,realWeight,timeNorm
31096.0,31629.0,31630.0,-66830.0,-66871.0,42.746101,41.0,41.0,0.95916,0.63346,0.0,0.0,-0.07,1.0,46.03,-0.35,-1.47,-0.19,-4.05,24.29,104,6940.0
31790.0,32324.0,32324.0,-66841.0,-66871.0,42.746101,30.0,30.0,0.70182,0.76097,0.0,-0.0,-0.06,1.0,45.82,-0.47,-1.48,0.15,-3.6,24.2,104,7634.0
32484.0,33018.0,33018.0,-66844.0,-66871.0,42.746101,27.0,27.0,0.63165,0.73781,0.0,-0.01,-0.07,0.98,45.95,-0.5,-1.29,0.44,-4.06,24.2,104,8328.0
33178.0,33712.0,33712.0,-66832.0,-66871.0,42.746101,39.0,39.0,0.91239,0.69625,0.0,-0.01,-0.06,1.0,45.74,-0.37,-1.47,0.45,-3.62,24.2,104,9022.0
33872.0,34406.0,34406.0,-66854.0,-66871.0,42.746101,17.0,17.0,0.3977,0.78087,0.0,-0.0,-0.06,1.0,46.14,-0.43,-1.68,0.25,-3.68,24.25,104,9716.0
34566.0,35100.0,35100.0,-66818.0,-66871.0,42.746101,53.0,53.0,1.23988,0.63086,0.0,0.0,-0.06,1.0,45.86,-0.44,-1.62,-0.08,-3.7,24.29,104,10410.0
35260.0,35794.0,35794.0,-66818.0,-66871.0,42.746101,53.0,53.0,1.23988,0.86929,0.0,0.0,-0.07,1.0,46.08,-0.37,-1.42,-0.06,-3.77,24.2,104,11104.0
35954.0,36488.0,36488.0,-66860.0,-66871.0,42.746101,11.0,11.0,0.25733,1.01438,0.0,0.0,-0.06,1.0,45.82,-0.3,-1.61,-0.01,-3.48,24.25,104,11798.0
36648.0,37182.0,37182.0,-66843.0,-66871.0,42.746101,28.0,28.0,0.65503,0.71799,0.0,-0.0,-0.06,1.0,46.05,-0.51,-1.6,0.03,-3.38,24.25,104,12492.0
37342.0,37876.0,37876.0,-66854.0,-66871.0,42.746101,17.0,17.0,0.3977,0.69334,0.0,-0.0,-0.07,1.0,46.03,-0.21,-1.73,0.21,-3.84,24.25,104,13186.0
38036.0,38570.0,38570.0,-66839.0,-66871.0,42.746101,32.0,32.0,0.74861,0.5776,0.0,0.0,-0.07,1.0,45.69,-0.37,-1.41,-0.04,-3.91,24.2,104,13880.0
38730.0,39264.0,39264.0,-66875.0,-66871.0,42.746101,-4.0,-4.0,-0.09358,0.64455,0.0,-0.0,-0.07,1.0,45.98,-0.38,-1.53,0.1,-3.78,24.25,104,14574.0
39424.0,39958.0,39958.0,-39132.0,-66871.0,42.746101,27739.0,27739.36,648.93317,648.93317,649.0,-0.01,-0.06,1.0,45.79,-0.27,-1.57,0.31,-3.23,24.25,104,15268.0
40120.0,40652.0,40652.0,102670.0,-66871.0,42.746101,169541.0,169541.02,3966.2334,3966.2334,3966.0,-0.0,-0.05,1.0,45.8,-0.19,-1.44,0.03,-3.01,24.15,104,15964.0
40814.0,41346.0,41346.0,159904.0,-66871.0,42.746101,226775.0,226775.06,5305.16357,5305.16357,5305.0,0.0,-0.06,1.0,45.95,-0.38,-1.62,-0.04,-3.72,24.25,104,16658.0
41508.0,42040.0,42040.0,152558.0,-66871.0,42.746101,219429.0,221560.02,5183.16309,5183.16309,5183.0,-0.14,-0.03,0.93,48.42,-8.41,-3.66,8.29,-1.76,24.29,104,17352.0
42202.0,42734.0,42734.0,39918.0,-66871.0,42.746101,106789.0,106789.0,2498.21606,2498.21606,2498.0,0.0,-0.06,1.0,45.8,-0.41,-1.48,-0.01,-3.36,24.25,104,18046.0
42896.0,43428.0,43428.0,150288.0,-66871.0,42.746101,217159.0,217159.48,5080.21729,5080.21729,5080.0,-0.0,-0.06,1.0,46.02,-0.45,-1.59,0.13,-3.34,24.15,104,18740.0
43590.0,44122.0,44122.0,168566.0,-66871.0,42.746101,235437.0,235440.72,5507.8877,5507.8877,5508.0,-0.01,-0.07,1.0,45.98,-0.72,-1.51,0.34,-3.75,24.2,104,19434.0
44284.0,44816.0,44816.0,169231.0,-66871.0,42.746101,236102.0,236102.0,5523.35742,5523.35742,5523.0,0.0,-0.07,1.0,45.87,-0.31,-1.38,0.0,-4.09,24.25,104,20128.0
44978.0,45510.0,45511.0,170375.0,-66871.0,42.746101,237246.0,237246.66,5550.13574,5550.13574,5550.0,-0.0,-0.07,1.0,45.98,-0.44,-1.53,0.14,-4.06,24.25,104,20822.0
45672.0,46204.0,46205.0,169098.0,-66871.0,42.746101,235969.0,235972.69,5520.33252,5520.33252,5520.0,-0.01,-0.07,1.0,45.66,-0.38,-1.52,0.33,-4.03,24.29,104,21516.0
46366.0,46898.0,46899.0,168255.0,-66871.0,42.746101,235126.0,235126.52,5500.53711,5500.53711,5500.5,-0.0,-0.06,1.0,45.73,-0.6,-1.47,0.13,-3.55,24.2,104,22210.0
