tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,timeNorm,realWeight
1429608.0,1430143.0,1430144.0,-62663.0,-62758.0,95.0,95.09,2.22242,2.4778,0.0,0.05,-0.01,1.0,44.8,-0.55,-1.6,-2.62,-0.39,25.28,58332.0,104
1430302.0,1430838.0,1430838.0,-62640.0,-62758.0,118.0,118.08,2.76049,2.37782,0.0,0.04,-0.0,1.0,44.31,-0.34,-0.92,-2.26,-0.1,25.19,59026.0,104
1430996.0,1431532.0,1431533.0,-62668.0,-62758.0,90.0,90.07,2.10546,2.52763,0.0,0.04,-0.0,1.0,44.71,-0.5,-1.48,-2.38,-0.08,25.24,59720.0,104
1431691.0,1432226.0,1432227.0,-62636.0,-62758.0,122.0,122.1,2.85406,2.36235,0.0,0.04,-0.01,1.0,44.63,-0.48,-1.4,-2.44,-0.72,25.28,60415.0,104
1432385.0,1432921.0,1432921.0,-62657.0,-62758.0,101.0,101.07,2.36279,2.55486,0.0,0.04,0.0,1.0,44.89,-0.42,-2.26,-2.28,0.18,25.19,61109.0,104
1433079.0,1433615.0,1433616.0,-62652.0,-62758.0,106.0,106.07,2.47976,2.47966,0.0,0.04,0.01,1.0,44.61,-0.4,-1.44,-2.12,0.56,25.14,61803.0,104
1433774.0,1434309.0,1434310.0,-62643.0,-62758.0,115.0,115.1,2.6903,2.4797,0.0,0.04,0.0,1.0,44.76,-0.53,-1.9,-2.54,0.07,25.24,62498.0,104
1434468.0,1435004.0,1435004.0,-62664.0,-62758.0,94.0,94.08,2.19903,2.56215,0.0,0.04,0.0,1.0,44.74,-0.73,-1.1,-2.5,0.08,25.09,63192.0,104
1435162.0,1435698.0,1435699.0,-62666.0,-62758.0,92.0,92.07,2.15224,2.41999,0.0,0.04,0.0,1.0,44.96,-0.65,-1.36,-2.41,0.24,25.19,63886.0,104
1435857.0,1436392.0,1436393.0,-62636.0,-62758.0,122.0,122.08,2.85406,2.31517,0.0,0.04,0.01,1.0,44.56,-0.49,-0.81,-2.16,0.5,25.28,64581.0,104
1436551.0,1437087.0,1437088.0,-62659.0,-62758.0,99.0,99.07,2.316,2.52614,0.0,0.04,-0.0,1.0,44.9,-0.66,-1.79,-2.28,-0.07,25.24,65275.0,104
1437246.0,1437781.0,1437782.0,-62631.0,-62758.0,127.0,127.13,2.97103,2.44387,0.0,0.05,-0.0,1.01,44.9,-0.53,-1.37,-2.7,-0.04,25.28,65970.0,104
1437940.0,1438476.0,1438476.0,-62657.0,-62758.0,101.0,101.1,2.36279,2.65026,0.0,0.05,0.01,1.0,44.91,-0.73,-2.29,-2.59,0.56,25.24,66664.0,104
1438634.0,1439170.0,1439171.0,-62646.0,-62758.0,112.0,112.1,2.62012,2.53771,0.0,0.04,-0.0,1.0,44.6,-0.61,-1.41,-2.49,-0.03,25.28,67358.0,104
1439329.0,1439865.0,1439865.0,-62662.0,-62758.0,96.0,96.1,2.24582,2.56998,0.0,0.05,-0.0,1.0,44.88,-0.69,-1.92,-2.74,-0.25,25.19,68053.0,104
1440023.0,1440559.0,1440560.0,-62635.0,-62758.0,123.0,123.08,2.87746,2.44307,0.0,0.04,0.0,1.0,44.53,-0.57,-1.08,-2.17,0.28,25.19,68747.0,104
1440718.0,1441253.0,1441254.0,-62639.0,-62758.0,119.0,119.1,2.78388,2.61313,0.0,0.04,0.0,1.01,44.84,-0.43,-1.79,-2.46,0.17,25.28,69442.0,104
1441412.0,1441948.0,1441949.0,-62634.0,-62758.0,124.0,124.09,2.90085,2.67998,0.0,0.04,0.01,1.0,44.91,-0.56,-1.19,-2.27,0.48,25.28,70136.0,104
1442106.0,1442642.0,1442643.0,-62651.0,-62758.0,107.0,107.1,2.50315,2.76645,0.0,0.05,0.01,1.0,44.97,-0.64,-2.03,-2.62,0.45,25.33,70830.0,104
1442801.0,1443337.0,1443337.0,-62638.0,-62758.0,120.0,120.1,2.80727,2.66337,0.0,0.04,0.0,1.0,44.71,-0.65,-1.4,-2.45,0.08,25.28,71525.0,104
1443495.0,1444031.0,1444032.0,-62682.0,-62758.0,76.0,76.05,1.77794,2.71971,0.0,0.04,0.0,1.0,44.88,-0.65,-1.98,-2.19,0.2,25.19,72219.0,104
1444189.0,1444725.0,1444726.0,-62625.0,-62758.0,133.0,133.09,3.11139,2.35101,0.0,0.04,0.0,1.0,44.72,-0.43,-1.29,-2.15,0.28,25.28,72913.0,104
1444884.0,1445420.0,1445420.0,-62663.0,-62758.0,95.0,95.08,2.22242,2.6487,0.0,0.04,0.0,1.0,44.83,-0.66,-1.74,-2.42,0.27,25.19,73608.0,104
1445578.0,1446114.0,1446115.0,-62653.0,-62758.0,105.0,105.08,2.45636,2.48181,0.0,0.04,-0.0,1.0,44.73,-0.21,-1.24,-2.3,-0.1,25.24,74302.0,104
1446273.0,1446808.0,1446809.0,-62657.0,-62758.0,101.0,101.06,2.36279,2.47185,0.0,0.04,0.01,1.0,44.71,-0.52,-1.56,-2.14,0.31,25.24,74997.0,104
1446967.0,1447503.0,1447504.0,-62647.0,-62758.0,111.0,111.07,2.59673,2.42915,0.0,0.04,-0.01,1.0,44.98,-0.55,-1.14,-2.16,-0.29,25.28,75691.0,104
1447662.0,1448197.0,1448198.0,-62623.0,-62758.0,135.0,135.15,3.15818,2.49476,0.0,0.05,0.01,1.0,44.91,-0.6,-1.97,-2.83,0.49,25.24,76386.0,104
1448356.0,1448892.0,1448893.0,-62637.0,-62758.0,121.0,121.09,2.83067,2.75449,0.0,0.04,0.01,1.0,44.74,-0.7,-1.52,-2.34,0.66,25.19,77080.0,104
1449051.0,1449587.0,1449587.0,-62645.0,-62758.0,113.0,113.09,2.64352,2.78431,0.0,0.04,-0.0,1.0,44.93,-0.27,-1.75,-2.44,-0.27,25.28,77775.0,104
1449745.0,1450281.0,1450282.0,-62634.0,-62758.0,124.0,124.11,2.90085,2.72919,0.0,0.04,0.0,1.0,44.89,-0.5,-1.32,-2.55,0.22,25.33,78469.0,104
1450440.0,1450975.0,1450976.0,-62622.0,-62758.0,136.0,136.13,3.18158,2.7964,0.0,0.04,-0.0,1.0,44.85,-0.49,-1.68,-2.58,-0.01,25.14,79164.0,104
1451134.0,1451670.0,1451671.0,-62655.0,-62758.0,103.0,103.08,2.40958,2.94719,0.0,0.04,0.0,1.0,45.03,-0.5,-1.21,-2.43,0.15,25.28,79858.0,104
1451829.0,1452364.0,1452365.0,-62650.0,-62758.0,108.0,108.09,2.52655,2.73672,0.0,0.04,-0.0,1.0,44.73,-0.31,-1.52,-2.39,-0.25,25.24,80553.0,104
1452523.0,1453059.0,1453060.0,-62673.0,-62758.0,85.0,85.08,1.98849,2.65443,0.0,0.04,0.01,1.01,44.82,-0.64,-1.44,-2.52,0.6,25.14,81247.0,104
1453217.0,1453753.0,1453754.0,-62658.0,-62758.0,100.0,100.09,2.33939,2.39372,0.0,0.05,-0.0,1.0,44.82,-0.65,-1.8,-2.6,-0.01,25.14,81941.0,104
1453912.0,1454448.0,1454448.0,-62614.0,-62758.0,144.0,144.1,3.36873,2.37245,0.0,0.04,-0.0,1.0,44.71,-0.38,-1.66,-2.27,-0.17,25.28,82636.0,104
1454607.0,1455142.0,1455143.0,-62638.0,-62758.0,120.0,120.08,2.80727,2.76249,0.0,0.04,-0.0,1.0,44.65,-0.41,-1.76,-2.17,-0.28,25.19,83331.0,104
1455301.0,1455837.0,1455837.0,-62673.0,-62758.0,85.0,85.06,1.98849,2.78002,0.0,0.04,0.0,1.0,44.87,-0.71,-1.4,-2.21,0.0,25.14,84025.0,104
1455995.0,1456531.0,1456532.0,-62626.0,-62758.0,132.0,132.1,3.088,2.47014,0.0,0.04,0.01,1.0,44.69,-0.7,-1.53,-2.36,0.31,25.19,84719.0,104
1456690.0,1457226.0,1457226.0,-62652.0,-62758.0,106.0,106.07,2.47976,2.71203,0.0,0.04,0.01,1.0,44.6,-0.4,-1.18,-2.12,0.49,25.24,85414.0,104
1457384.0,1457920.0,1457921.0,-62662.0,-62758.0,96.0,96.1,2.24582,2.6211,0.0,0.05,-0.0,0.99,44.92,-0.5,-1.48,-2.71,-0.11,25.28,86108.0,104
1458079.0,1458615.0,1458615.0,-62700.0,-62758.0,58.0,58.05,1.35685,2.47417,0.0,0.04,-0.01,1.0,44.73,-0.61,-1.46,-2.48,-0.29,25.19,86803.0,104
1458773.0,1459309.0,1459310.0,-62689.0,-62758.0,69.0,69.07,1.61418,2.03674,0.0,0.05,0.0,1.0,44.78,-0.59,-1.64,-2.64,0.13,25.28,87497.0,104
1459467.0,1460004.0,1460004.0,-62664.0,-62758.0,94.0,94.07,2.19903,1.87131,0.0,0.04,0.0,1.0,44.79,-0.25,-1.38,-2.31,0.07,25.24,88191.0,104
1460162.0,1460698.0,1460699.0,-62682.0,-62758.0,76.0,76.07,1.77794,1.99961,0.0,0.05,0.0,1.0,45.0,-0.58,-1.56,-2.63,0.15,25.24,88886.0,104
1460856.0,1461392.0,1461393.0,-62691.0,-62758.0,67.0,67.05,1.56739,1.91283,0.0,0.04,-0.0,1.01,44.85,-0.72,-1.4,-2.32,-0.25,25.14,89580.0,104
1461551.0,1462087.0,1462088.0,-62701.0,-62758.0,57.0,57.05,1.33345,1.77759,0.0,0.04,-0.01,1.01,44.56,-0.51,-1.4,-2.41,-0.32,25.24,90275.0,104
1462246.0,1462781.0,1462782.0,-62697.0,-62758.0,61.0,61.05,1.42703,1.60371,0.0,0.04,-0.0,1.0,45.08,-0.6,-1.4,-2.44,-0.11,25.28,90970.0,104
1462940.0,1463476.0,1463477.0,-62686.0,-62758.0,72.0,72.06,1.68436,1.53454,0.0,0.04,-0.0,1.01,44.85,-0.7,-1.8,-2.53,-0.04,25.14,91664.0,104
1463635.0,1464170.0,1464171.0,-62716.0,-62758.0,42.0,42.03,0.98255,1.5932,0.0,0.04,-0.0,1.0,44.73,-0.63,-1.56,-2.3,-0.08,25.24,92359.0,104
1464329.0,1464865.0,1464866.0,-62676.0,-62758.0,82.0,82.07,1.9183,1.35413,0.0,0.04,-0.01,1.0,44.79,-0.38,-1.57,-2.48,-0.45,25.24,93053.0,104
