tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,calibrationFactor,relativeVal_WU,realValue_WU_AngleAdj,realValue_WU_MovAvg,realValue,realValueFiltered,correctedValueFiltered,myAx,myAy,myAz,myGx,myGy,myGz,thetadeg,phideg,myTmp,vccReadBits,vccReadVolts,vccGPIO,vccVolts,ratioVCCMAX,B_GOOGLE_HTTPREQ,B_SERIALPORT,B_SERIALTELNET,B_ANGLE_ADJUSTMENT,B_DEBUG_MODE,BF_GOOGLE_HTTPREQ,BF_SERIALPORT,BF_SERIALTELNET,BF_MPU,BF_WIFI,realWeight,timeNorm,timeMeasure,timeAlgo,timeSim
1594970,1595491,1595492,-67883,-67795,42.7461,-88,-89.665,-87.4983,-2.097618,-2.15843,0,0.205566,0.094971,1.004395,-11.51145,6.122138,-1.480916,-11.5168,5.40154,30.88294,2676.5,2.156886,2.358156,7.279741,0.997225,False,True,True,True,True,False,False,False,False,False,104,656656,521,1,652631.671679198
1597054,1597579,1597579,-67879,-67795,42.7461,-84,-85.60607,-86.62874,-2.002664,-2.134622,0,0.207275,0.093506,1.007568,-11.45802,6.328244,-1.40458,-11.57621,5.30205,30.83588,2675.4,2.156,2.357187,7.27675,0.996815,False,True,True,True,True,False,False,False,False,False,104,658740,525,0,654716.7568922306
1599214,1599761,1599762,-67885,-67795,42.7461,-90,-91.79126,-87.06971,-2.14736,-2.08296,0,0.212158,0.100342,1.01001,-11.51908,6.19084,-1.312977,-11.80632,5.673554,30.83588,2674.1,2.154953,2.356041,7.273214,0.996331,False,True,True,True,True,False,False,False,False,False,104,660900,547,1,656801.8421052631
1601368,1601848,1601849,-67892,-67795,42.7461,-97,-98.97045,-91.15681,-2.31531,-2.108173,0,0.213379,0.089844,1.006348,-11.48855,6.427481,-1.427481,-11.9252,5.101661,30.88294,2673.9,2.154791,2.355865,7.27267,0.996256,False,True,True,True,True,False,False,False,False,False,104,663054,480,1,658886.9273182958
1603517,1604030,1604031,-67889,-67795,42.7461,-94,-95.74039,-93.48639,-2.239746,-2.189267,0,0.205078,0.104004,1.012207,-11.61069,6.21374,-1.412214,-11.39493,5.866519,30.83588,2676.0,2.156483,2.357715,7.278381,0.997039,False,True,True,True,True,False,False,False,False,False,104,665203,513,1,660972.0125313284
1605408,1605928,1605929,-67885,-67795,42.7461,-90,-91.76756,-94.21613,-2.146806,-2.209029,0,0.211426,0.096924,1.013672,-11.54198,6.251908,-1.450382,-11.72948,5.461809,30.83588,2676.1,2.156564,2.357804,7.278654,0.997076,False,True,True,True,True,False,False,False,False,False,104,667094,520,1,663057.0977443609
1607285,1607826,1607826,-67878,-67795,42.7461,-83,-84.65292,-91.17062,-1.980366,-2.184669,0,0.212891,0.095703,1.013672,-11.50382,6.259542,-1.625954,-11.80978,5.393428,30.78882,2674.4,2.155194,2.356305,7.27403,0.996442,False,True,True,True,True,False,False,False,False,False,104,668971,541,0,665142.1829573935
1609250,1609818,1609819,-67900,-67795,42.7461,-105,-107.0321,-93.65163,-2.503904,-2.104684,0,0.209961,0.091309,1.014648,-11.69466,6.274809,-1.40458,-11.6454,5.142206,30.83588,2674.2,2.155033,2.356129,7.273486,0.996368,False,True,True,True,True,False,False,False,False,False,104,670936,568,1,667227.2681704261
1611184,1611715,1611716,-67882,-67795,42.7461,-87,-88.76065,-94.10229,-2.076462,-2.260979,0,0.213867,0.091064,1.010498,-11.37405,6.137404,-1.557252,-11.90316,5.149481,30.88294,2673.9,2.154791,2.355865,7.27267,0.996256,False,True,True,True,True,False,False,False,False,False,104,672870,531,1,669312.3533834587
1613085,1613613,1613613,-67864,-67795,42.7461,-69,-70.34937,-91.03917,-1.645749,-2.18874,0,0.210205,0.09375,1.010254,-11.45038,6.183206,-1.381679,-11.70499,5.301764,30.83588,2674.6,2.155355,2.356482,7.274574,0.996517,False,True,True,True,True,False,False,False,False,False,104,674771,528,0,671397.4385964912
1615235,1615795,1615795,-67860,-67795,42.7461,-65,-66.29823,-86.3717,-1.550977,-1.976159,0,0.212891,0.0979,1.011963,-11.51145,6.099236,-1.503817,-11.82662,5.52576,30.83588,2673.9,2.154791,2.355865,7.27267,0.996256,False,True,True,True,True,False,False,False,False,False,104,676921,560,0,673482.5238095239
1617346,1617882,1617883,-67877,-67795,42.7461,-82,-83.51003,-84.62451,-1.953629,-1.809701,0,0.203857,0.092529,1.01001,-11.52672,6.19084,-1.274809,-11.36473,5.234374,30.88294,2674.3,2.155113,2.356217,7.273757,0.996405,False,True,True,True,True,False,False,False,False,False,104,679032,536,1,675567.6090225565
1619458,1619969,1619970,-67871,-67795,42.7461,-76,-77.50594,-82.58714,-1.81317,-1.866048,0,0.212891,0.094727,1.016357,-11.44275,6.122138,-1.427481,-11.78073,5.324687,30.83588,2673.6,2.15455,2.355601,7.271854,0.996144,False,True,True,True,True,False,False,False,False,False,104,681144,511,1,677652.694235589
1621608,1622152,1622152,-67893,-67795,42.7461,-98,-99.94579,-84.77183,-2.338126,-1.845347,0,0.210938,0.0979,1.005615,-11.64122,6.122138,-1.236641,-11.79238,5.560422,30.97706,2674.4,2.155194,2.356305,7.27403,0.996442,False,True,True,True,True,False,False,False,False,False,104,683294,544,0,679737.7794486216
1623808,1624333,1624334,-67872,-67795,42.7461,-77,-78.43981,-80.6872,-1.835017,-2.03827,0,0.206787,0.098877,1.016113,-11.42748,6.450382,-1.465649,-11.45039,5.557883,30.88294,2674.7,2.155436,2.35657,7.274846,0.996554,False,True,True,True,True,False,False,False,False,False,104,685494,525,1,681822.8646616542
1626545,1627085,1627086,-67874,-67795,42.7461,-79,-80.51082,-79.50866,-1.883466,-1.958696,0,0.206787,0.0979,1.004639,-11.62595,6.396946,-1.40458,-11.57751,5.565793,30.93,2676.1,2.156564,2.357804,7.278654,0.997076,False,True,True,True,True,False,False,False,False,False,104,688231,540,1,683907.9498746868
1628696,1629172,1629173,-67892,-67795,42.7461,-97,-98.86506,-83.58233,-2.312844,-1.929244,0,0.20874,0.100098,1.01123,-11.43511,6.076336,-1.503817,-11.60809,5.653051,30.88294,2674.1,2.154953,2.356041,7.273214,0.996331,False,True,True,True,True,False,False,False,False,False,104,690382,476,1,685993.0350877193
1630550,1631070,1631071,-67857,-67795,42.7461,-62,-63.19942,-83.13964,-1.478484,-2.079423,0,0.20874,0.100342,1.008057,-11.53435,6.122138,-1.40458,-11.64302,5.684474,30.88294,2674.3,2.155113,2.356217,7.273757,0.996405,False,True,True,True,True,False,False,False,False,False,104,692236,520,1,688078.1203007519
1632439,1632967,1632968,-67873,-67795,42.7461,-78,-79.48483,-82.56461,-1.859464,-1.844155,0,0.206299,0.094971,1.004883,-11.46565,6.389313,-1.175573,-11.55132,5.398932,30.93,2673.9,2.154791,2.355865,7.27267,0.996256,False,True,True,True,True,False,False,False,False,False,104,694125,528,1,690163.2055137845
1634548,1635055,1635056,-67854,-67795,42.7461,-59,-60.10135,-80.07824,-1.406008,-1.850149,0,0.206543,0.092773,1.016357,-11.54198,6.198473,-1.503817,-11.44083,5.215512,30.88294,2674.7,2.155436,2.35657,7.274846,0.996554,False,True,True,True,True,False,False,False,False,False,104,696234,507,1,692248.2907268171
1636793,1637332,1637333,-67892,-67795,42.7461,-97,-98.87733,-79.9256,-2.313131,-1.676267,0,0.206299,0.096191,0.996338,-11.44275,6.229008,-1.435115,-11.6455,5.514515,30.93,2674.0,2.154872,2.355953,7.272942,0.996293,False,True,True,True,True,False,False,False,False,False,104,698479,539,1,694333.3759398496
1638803,1639325,1639326,-67854,-67795,42.7461,-59,-60.12566,-77.30929,-1.406576,-1.925599,0,0.20752,0.097168,1.009521,-11.51908,6.137404,-1.305344,-11.56402,5.497856,30.88294,2674.1,2.154953,2.356041,7.273214,0.996331,False,True,True,True,True,False,False,False,False,False,104,700489,522,1,696418.4611528822
1640966,1641507,1641508,-67867,-67795,42.7461,-72,-73.46621,-76.30292,-1.718665,-1.722402,0,0.211426,0.094727,0.995361,-11.42748,6.259542,-1.022901,-11.93961,5.43634,30.97706,2674.7,2.155436,2.35657,7.274846,0.996554,False,True,True,True,True,False,False,False,False,False,104,702652,541,1,698503.5463659149
1642851,1643405,1643406,-67873,-67795,42.7461,-78,-79.52158,-73.53957,-1.860323,-1.720939,0,0.209717,0.092529,1.009277,-11.44275,6.259542,-1.221374,-11.6907,5.238151,31.02412,2674.2,2.155033,2.356129,7.273486,0.996368,False,True,True,True,True,False,False,False,False,False,104,704537,554,1,700588.6315789474
1644990,1645492,1645493,-67878,-67795,42.7461,-83,-84.56937,-76.59241,-1.978411,-1.775508,0,0.207031,0.097412,1.011719,-11.67176,6.099236,-1.480916,-11.51312,5.499689,30.93,2674.5,2.155275,2.356394,7.274302,0.99648,False,True,True,True,True,False,False,False,False,False,104,706676,502,1,702673.71679198
1647123,1647675,1647676,-67875,-67795,42.7461,-80,-81.58078,-76.89184,-1.908496,-1.854945,0,0.211426,0.092041,1.010986,-11.59542,6.335878,-1.59542,-11.76461,5.201902,30.93,2673.9,2.154791,2.355865,7.27267,0.996256,False,True,True,True,True,False,False,False,False,False,104,708809,552,1,704758.8020050125
1649249,1649762,1649763,-67896,-67795,42.7461,-101,-102.9296,-83.01017,-2.407931,-1.87591,0,0.209229,0.095703,1.017334,-11.49618,6.312977,-1.282443,-11.57188,5.374127,31.07118,2673.9,2.154791,2.355865,7.27267,0.996256,False,True,True,True,True,False,False,False,False,False,104,710935,513,1,706843.8872180452
