tBeforeMeasure,tAfterMeasure,tAfterAlgo,realValue_WU,OFFSET,relativeVal_WU,realValue_WU_AngleAdj,realValue,realValueFiltered,correctedValueFiltered,Ax,Ay,Az,Gx,Gy,Gz,thetadeg,phideg,myTmp,realWeight
68120.0,68658.0,68659.0,19901.0,19910.0,-9.0,-9.0,-0.21055,-0.17769,0.0,292.0,16424.0,340.0,5793.0,-84.0,-200.0,-1.02,-1.19,25.14,2000
68815.0,69353.0,69353.0,19898.0,19910.0,-12.0,-12.0,-0.28073,-0.19055,0.0,204.0,16420.0,380.0,5749.0,-78.0,-210.0,-0.71,-1.33,25.05,2000
69509.0,70047.0,70048.0,19925.0,19910.0,15.0,15.0,0.35091,-0.22586,0.0,300.0,16408.0,336.0,5775.0,-85.0,-195.0,-1.05,-1.17,25.0,2000
70203.0,70741.0,70742.0,19910.0,19910.0,0.0,0.0,0.0,-5e-05,0.0,280.0,16384.0,512.0,5808.0,-85.0,-217.0,-0.98,-1.79,25.14,2000
70897.0,71435.0,71436.0,19913.0,19910.0,3.0,3.0,0.07018,-3e-05,0.0,368.0,16376.0,404.0,5790.0,-67.0,-185.0,-1.29,-1.41,25.14,2000
71592.0,72130.0,72130.0,19905.0,19910.0,-5.0,-5.0,-0.11697,0.02746,0.0,352.0,16320.0,456.0,5797.0,-57.0,-237.0,-1.24,-1.6,25.14,2000
72286.0,72824.0,72825.0,19916.0,19910.0,6.0,6.0,0.14036,-0.02909,0.0,172.0,16368.0,400.0,5755.0,-79.0,-150.0,-0.6,-1.4,25.19,2000
72980.0,73518.0,73519.0,19898.0,19910.0,-12.0,-12.0,-0.28073,0.03725,0.0,316.0,16452.0,460.0,5786.0,-57.0,-256.0,-1.1,-1.6,25.19,2000
73675.0,74213.0,74213.0,19900.0,19910.0,-10.0,-10.0,-0.23394,-0.08724,0.0,288.0,16340.0,596.0,5774.0,-82.0,-201.0,-1.01,-2.09,25.05,2000
74369.0,74907.0,74908.0,19906.0,19910.0,-4.0,-4.0,-0.09358,-0.14467,0.0,344.0,16312.0,208.0,5764.0,-67.0,-113.0,-1.21,-0.73,25.09,2000
75064.0,75601.0,75602.0,19903.0,19910.0,-7.0,-7.0,-0.16376,-0.12467,0.0,340.0,16408.0,316.0,5791.0,-73.0,-214.0,-1.19,-1.1,25.09,2000
75758.0,76296.0,76296.0,19921.0,19910.0,11.0,11.0,0.25733,-0.13997,0.0,332.0,16492.0,620.0,5754.0,-86.0,-254.0,-1.15,-2.15,25.09,2000
76452.0,76990.0,76991.0,19892.0,19910.0,-18.0,-18.0,-0.42109,0.01557,0.0,168.0,16440.0,460.0,5779.0,-81.0,-240.0,-0.59,-1.6,25.09,2000
77147.0,77684.0,77685.0,19910.0,19910.0,0.0,0.0,0.0,-0.15538,0.0,204.0,16332.0,468.0,5774.0,-64.0,-123.0,-0.72,-1.64,25.09,2000
77841.0,78379.0,78379.0,19914.0,19910.0,4.0,4.0,0.09358,-0.09455,0.0,260.0,16400.0,304.0,5781.0,-63.0,-154.0,-0.91,-1.06,25.14,2000
78535.0,79073.0,79074.0,19912.0,19910.0,2.0,2.0,0.04679,-0.0209,0.0,360.0,16352.0,288.0,5762.0,-23.0,-196.0,-1.26,-1.01,25.09,2000
79229.0,79768.0,79768.0,19891.0,19910.0,-19.0,-19.0,-0.44448,0.0056,0.0,368.0,16380.0,444.0,5800.0,-38.0,-244.0,-1.29,-1.55,25.19,2000
79924.0,80462.0,80463.0,19889.0,19910.0,-21.0,-21.0,-0.49127,-0.17061,0.0,192.0,16344.0,376.0,5780.0,-68.0,-214.0,-0.67,-1.32,25.09,2000
80619.0,81156.0,81157.0,19919.0,19910.0,9.0,9.0,0.21055,-0.29615,0.0,204.0,16324.0,396.0,5760.0,-52.0,-144.0,-0.72,-1.39,25.09,2000
81312.0,81851.0,81851.0,19898.0,19910.0,-12.0,-12.0,-0.28073,-0.09778,0.0,304.0,16324.0,424.0,5781.0,-51.0,-205.0,-1.07,-1.49,25.09,2000
82007.0,82545.0,82546.0,19889.0,19910.0,-21.0,-21.0,-0.49127,-0.1694,0.0,256.0,16500.0,212.0,5793.0,-78.0,-180.0,-0.89,-0.74,25.14,2000
82702.0,83239.0,83240.0,19933.0,19910.0,23.0,23.0,0.53806,-0.29541,0.0,308.0,16372.0,416.0,5783.0,-83.0,-227.0,-1.08,-1.46,25.09,2000
83396.0,83934.0,83934.0,19917.0,19910.0,7.0,7.0,0.16376,0.03089,0.0,332.0,16372.0,384.0,5777.0,-63.0,-214.0,-1.16,-1.34,25.05,2000
84090.0,84628.0,84629.0,19910.0,19910.0,0.0,0.0,0.0,0.08291,0.0,252.0,16372.0,460.0,5807.0,-78.0,-185.0,-0.88,-1.61,25.14,2000
84784.0,85322.0,85323.0,19928.0,19910.0,18.0,18.0,0.42109,0.05045,0.0,312.0,16328.0,424.0,5783.0,-85.0,-198.0,-1.09,-1.49,25.19,2000
85479.0,86017.0,86017.0,19893.0,19910.0,-17.0,-17.0,-0.3977,0.19556,0.0,240.0,16456.0,424.0,5785.0,-88.0,-178.0,-0.84,-1.48,25.14,2000
86173.0,86711.0,86712.0,19933.0,19910.0,23.0,23.0,0.53806,-0.0367,0.0,292.0,16412.0,136.0,5826.0,-48.0,-232.0,-1.02,-0.47,25.14,2000
86867.0,87405.0,87406.0,19919.0,19910.0,9.0,9.0,0.21055,0.18832,0.0,272.0,16476.0,344.0,5763.0,-73.0,-204.0,-0.95,-1.2,25.24,2000
87562.0,88100.0,88100.0,19907.0,19910.0,-3.0,-3.0,-0.07018,0.19702,0.0,340.0,16480.0,524.0,5757.0,-93.0,-221.0,-1.18,-1.82,25.09,2000
88256.0,88794.0,88795.0,19916.0,19910.0,6.0,6.0,0.14036,0.09241,0.0,292.0,16364.0,400.0,5782.0,-62.0,-185.0,-1.02,-1.4,25.09,2000
88950.0,89489.0,89489.0,19892.0,19910.0,-18.0,-18.0,-0.42109,0.11118,0.0,332.0,16408.0,464.0,5799.0,-102.0,-202.0,-1.16,-1.62,25.05,2000
89645.0,90183.0,90184.0,19911.0,19910.0,1.0,1.0,0.02339,-0.0972,0.0,304.0,16420.0,364.0,5767.0,-67.0,-225.0,-1.06,-1.27,25.09,2000
90339.0,90877.0,90878.0,19926.0,19910.0,16.0,16.0,0.3743,-0.04999,0.0,328.0,16444.0,484.0,5781.0,-80.0,-193.0,-1.14,-1.69,25.14,2000
91034.0,91572.0,91573.0,19922.0,19910.0,12.0,12.0,0.28073,0.11612,0.0,272.0,16356.0,256.0,5788.0,-66.0,-228.0,-0.95,-0.9,25.05,2000
