28133,	-0.6796,	0.0000,	27579,	28132,	0.9568,	0.0000,	0,	0,	-61.7977,	5148.0000,	5190.00,	0,	3755,	3.77,	-0.02,	0.01,	1.00,	28.99,	-0.12,	-0.24,	0.86,	0.59,	24.25,	24.34,	-0.07,	
28783,	-1.2298,	0.0000,	28229,	28782,	0.3161,	0.0000,	0,	0,	-61.7977,	5148.0000,	5224.00,	0,	3755,	3.72,	-0.02,	-0.01,	1.01,	29.06,	-0.20,	-2.35,	0.89,	-0.29,	24.34,	24.34,	0.00,	
29433,	0.6149,	0.0000,	28878,	29431,	-0.2891,	0.0000,	0,	0,	-61.7977,	5148.0000,	5110.00,	0,	3755,	3.71,	-0.02,	-0.00,	1.01,	28.99,	-0.40,	-3.02,	1.04,	-0.21,	24.34,	24.34,	0.00,	
30083,	0.3722,	0.0000,	29529,	30082,	0.0648,	0.0000,	0,	0,	-61.7977,	5148.0000,	5125.00,	0,	3755,	3.88,	-0.02,	0.00,	1.00,	29.00,	0.06,	-0.97,	0.98,	0.17,	24.29,	24.34,	-0.04,	
30733,	0.0324,	0.0000,	30179,	30732,	0.1852,	0.0000,	0,	0,	-61.7977,	5148.0000,	5146.00,	0,	3755,	3.79,	-0.02,	-0.00,	1.01,	29.07,	-0.38,	-0.93,	0.88,	-0.06,	24.29,	24.34,	-0.04,	
31383,	-0.6473,	0.0000,	30829,	31382,	0.1253,	0.0000,	0,	0,	-61.7977,	5148.0000,	5188.00,	0,	3755,	3.70,	-0.01,	-0.01,	1.00,	28.82,	-0.01,	-2.87,	0.80,	-0.29,	24.25,	24.34,	-0.07,	
32033,	-0.4369,	0.0000,	31479,	32031,	-0.1771,	0.0000,	0,	0,	-61.7977,	5148.0000,	5175.00,	0,	3755,	3.75,	-0.02,	0.00,	1.01,	28.89,	-0.20,	-2.30,	0.88,	0.07,	24.29,	24.34,	-0.04,	
32683,	0.2751,	0.0000,	32129,	32681,	-0.2788,	0.0000,	0,	0,	-61.7977,	5148.0000,	5131.00,	0,	3755,	3.86,	-0.02,	-0.01,	1.00,	29.05,	-0.19,	-0.56,	1.04,	-0.35,	24.20,	24.34,	-0.11,	
33333,	1.8285,	0.0000,	32779,	33332,	-0.0620,	0.0000,	0,	0,	-61.7977,	5148.0000,	5035.00,	0,	3755,	3.84,	-0.02,	-0.00,	1.01,	28.97,	-0.11,	-1.47,	0.98,	-0.07,	24.34,	24.34,	0.00,	
33983,	1.7962,	0.0000,	33429,	33982,	0.6782,	0.0000,	0,	0,	-61.7977,	5148.0000,	5037.00,	0,	3755,	3.71,	-0.02,	0.01,	1.01,	29.06,	-0.18,	-2.80,	1.11,	0.29,	24.29,	24.34,	-0.04,	
34633,	0.7282,	0.0000,	34079,	34632,	1.1159,	0.0000,	0,	0,	-61.7977,	5148.0000,	5103.00,	0,	3755,	3.84,	-0.01,	0.00,	1.01,	28.98,	0.07,	-1.55,	0.76,	0.19,	24.29,	24.34,	-0.04,	
35283,	0.0809,	0.0000,	34728,	35281,	0.9641,	0.0000,	0,	0,	-61.7977,	5148.0000,	5143.00,	0,	3755,	3.81,	-0.01,	0.00,	1.01,	28.98,	-0.18,	-0.65,	0.65,	0.25,	24.25,	24.34,	-0.07,	
35933,	0.2104,	0.0000,	35379,	35932,	0.6183,	0.0000,	0,	0,	-61.7977,	5148.0000,	5135.00,	0,	3755,	3.79,	-0.02,	-0.01,	1.00,	29.02,	-0.07,	-2.20,	1.06,	-0.33,	24.29,	24.34,	-0.04,	
36583,	1.2136,	0.0000,	36029,	36582,	0.4586,	0.0000,	0,	0,	-61.7977,	5148.0000,	5073.00,	0,	3755,	3.79,	-0.02,	-0.00,	1.00,	28.76,	-0.05,	-2.63,	1.06,	-0.24,	24.39,	24.34,	0.04,	
37233,	-0.0647,	0.0000,	36679,	37232,	0.7542,	0.0000,	0,	0,	-61.7977,	5148.0000,	5152.00,	0,	3755,	3.81,	-0.02,	0.00,	1.00,	29.08,	-0.14,	-0.98,	1.00,	0.00,	24.29,	24.34,	-0.04,	
